,ALTO_PARAGUAY,ALTO_PARANA,AMAMBAY,ASUNCION,BOQUERON,CAAGUAZU,CAAZAPA,CANINDEYU,CENTRAL,CENTRO_EST,CENTRO_NORTE,CENTRO_SUR,CHACO,CONCEPCION,CORDILLERA,GUAIRA,ITAPUA,METROPOLITANO,MISIONES,NEEMBUCU,PARAGUARI,PARAGUAY,PTE_HAYES,SAN_PEDRO
ALTO_PARAGUAY,0.0,0.3985294378068834,0.48660818553887836,0.431233581877379,0.4736943655588264,0.44351283778551465,0.8572038756914928,0.4337489423859117,0.38213203792053657,0.41739295742536014,0.38525932756740083,0.5003106391066448,0.47455512683682316,0.5394258479744615,0.4916066794032122,0.7698877901694686,1.0301707226774173,0.3930548111387129,0.7558497565219954,0.4346220432335257,1.107920055096583,0.3926768934288332,0.6524361616160402,0.3657196359798838
ALTO_PARANA,0.3985294378068834,0.0,0.44715195004836694,0.3917773463868676,0.4342381300683149,0.40405660229500323,0.8177476402009813,0.39429270689540025,0.34267580243002516,0.3779367219348488,0.3458030920768895,0.46085440361613345,0.4350988913463118,0.49996961248395005,0.4521504439127008,0.7304315546789573,0.9907144871869059,0.3535985756482016,0.7163935210314841,0.39516580774301424,1.0684638196060716,0.35322065793832175,0.6129799261255289,0.32626340048937236
AMAMBAY,0.48660818553887836,0.44715195004836694,0.0,0.4798560941188625,0.5223168778003099,0.4921353500269982,0.9058263879329763,0.48237145462739517,0.43075455016202,0.46601546966684365,0.43388183980888434,0.5489331513481283,0.5231776390783066,0.5880483602159449,0.5402291916446957,0.8185103024109521,1.0787932349189007,0.44167732338019644,0.804472268763479,0.4832445554750091,1.1565425673380665,0.4412994056703166,0.7010586738575237,0.4143421482213672
ASUNCION,0.431233581877379,0.3917773463868676,0.4798560941188625,0.0,0.4669422741388105,0.4367607463654988,0.8504517842714768,0.42699685096589585,0.3753799465005207,0.4106408660053443,0.37850723614738496,0.49355854768662893,0.4678030354168074,0.5326737565544456,0.4848545879831963,0.7631356987494528,1.0234186312574016,0.38630271971869706,0.7490976651019796,0.4278699518135098,1.1011679636765672,0.38592480200881735,0.6456840701960244,0.3589675445598679
BOQUERON,0.4736943655588264,0.4342381300683149,0.5223168778003099,0.4669422741388105,0.0,0.47922153004694623,0.8929125679529243,0.4694576346473432,0.41784073018196805,0.4531016496867917,0.42096801982883236,0.5360193313680762,0.5102638190982547,0.575134540235893,0.5273153716646437,0.8055964824309001,1.065879414938849,0.42876350340014446,0.791558448783427,0.47033073549495724,1.1436287473580145,0.42838558569026475,0.6881448538774718,0.4014283282413153
CAAGUAZU,0.44351283778551465,0.40405660229500323,0.4921353500269982,0.4367607463654988,0.47922153004694623,0.0,0.8627310401796126,0.43927610687403157,0.3876592024086564,0.42292012191348,0.39078649205552063,0.5058378035947646,0.480082291324943,0.5449530124625813,0.49713384389133203,0.7754149546575885,1.0356978871655371,0.39858197562683273,0.7613769210101152,0.4401492077216454,1.113447219584703,0.398204057916953,0.6579633261041601,0.3712468004680036
CAAZAPA,0.8572038756914928,0.8177476402009813,0.9058263879329763,0.8504517842714768,0.8929125679529243,0.8627310401796126,0.0,0.8529671447800097,0.8013502403146345,0.836611159819458,0.8044775299614987,0.9195288415007427,0.8937733292309211,0.9586440503685595,0.9108248817973101,1.1891059925635663,1.4493889250715153,0.8122730135328108,1.1750679589160935,0.8538402456276236,1.5271382574906809,0.8118950958229312,1.0716543640101381,0.7849378383739817
CANINDEYU,0.4337489423859117,0.39429270689540025,0.48237145462739517,0.42699685096589585,0.4694576346473432,0.43927610687403157,0.8529671447800097,0.0,0.3778953070090534,0.413156226513877,0.3810225966559177,0.49607390819516173,0.4703183959253401,0.5351891170629783,0.4873699484917291,0.7656510592579854,1.0259339917659343,0.3888180802272298,0.7516130256105124,0.4303853123220425,1.1036833241850998,0.3884401625173501,0.6481994307045571,0.3614829050684006
CENTRAL,0.38213203792053657,0.34267580243002516,0.43075455016202,0.3753799465005207,0.41784073018196805,0.3876592024086564,0.8013502403146345,0.3778953070090534,0.0,0.36153932204850187,0.32940569219054255,0.4444570037297865,0.41870149145996494,0.4835722125976032,0.4357530440263539,0.7140341547926102,0.9743170873005592,0.33720117576185465,0.6999961211451372,0.3787684078566674,1.0520664197197247,0.33682325805197494,0.596582526239182,0.30986600060302544
CENTRO_EST,0.41739295742536014,0.3779367219348488,0.46601546966684365,0.4106408660053443,0.4531016496867917,0.42292012191348,0.836611159819458,0.413156226513877,0.36153932204850187,0.0,0.3646666116953661,0.4797179232346102,0.45396241096478845,0.5188331321024268,0.4710139635311776,0.7492950742974339,1.0095780068053826,0.37246209526667823,0.7352570406499609,0.414029327361491,1.0873273392245484,0.3720841775567985,0.6318434457440055,0.34512692010784907
CENTRO_NORTE,0.38525932756740083,0.3458030920768895,0.43388183980888434,0.37850723614738496,0.42096801982883236,0.39078649205552063,0.8044775299614987,0.3810225966559177,0.32940569219054255,0.3646666116953661,0.0,0.4475842933766508,0.42182878110682925,0.4866995022444675,0.43888033367321816,0.7171614444394746,0.9774443769474234,0.3403284654087189,0.7031234107920015,0.38189569750353164,1.0551937093665889,0.3399505476988392,0.5997098158860462,0.31299329024988976
CENTRO_SUR,0.5003106391066448,0.46085440361613345,0.5489331513481283,0.49355854768662893,0.5360193313680762,0.5058378035947646,0.9195288415007427,0.49607390819516173,0.4444570037297865,0.4797179232346102,0.4475842933766508,0.0,0.5368800926460732,0.6017508137837114,0.5539316452124622,0.8322127559787186,1.0924956884866674,0.4553797769479629,0.8181747223312454,0.4969470090427756,1.1702450209058328,0.4550018592380832,0.7147611274252902,0.4280446017891337
CHACO,0.47455512683682316,0.4350988913463118,0.5231776390783066,0.4678030354168074,0.5102638190982547,0.480082291324943,0.8937733292309211,0.4703183959253401,0.41870149145996494,0.45396241096478845,0.42182878110682925,0.5368800926460732,0.0,0.5759953015138899,0.5281761329426405,0.8064572437088969,1.0667401762168456,0.42962426467814124,0.7924192100614239,0.471191496772954,1.1444895086360114,0.4292463469682615,0.6890056151554687,0.4022890895193121
CONCEPCION,0.5394258479744615,0.49996961248395005,0.5880483602159449,0.5326737565544456,0.575134540235893,0.5449530124625813,0.9586440503685595,0.5351891170629783,0.4835722125976032,0.5188331321024268,0.4866995022444675,0.6017508137837114,0.5759953015138899,0.0,0.5930468540802788,0.8713279648465352,1.131610897354484,0.4944949858157795,0.8572899311990622,0.5360622179105923,1.2093602297736497,0.4941170681058999,0.7538763362931068,0.4671598106569504
CORDILLERA,0.4916066794032122,0.4521504439127008,0.5402291916446957,0.4848545879831963,0.5273153716646437,0.49713384389133203,0.9108248817973101,0.4873699484917291,0.4357530440263539,0.4710139635311776,0.43888033367321816,0.5539316452124622,0.5281761329426405,0.5930468540802788,0.0,0.8235087962752861,1.0837917287832346,0.44667581724453026,0.8094707626278129,0.48824304933934304,1.1615410612024004,0.44629789953465065,0.7060571677218577,0.41934064208570115
GUAIRA,0.7698877901694686,0.7304315546789573,0.8185103024109521,0.7631356987494528,0.8055964824309001,0.7754149546575885,1.1891059925635663,0.7656510592579854,0.7140341547926102,0.7492950742974339,0.7171614444394746,0.8322127559787186,0.8064572437088969,0.8713279648465352,0.8235087962752861,0.0,1.362072839549491,0.7249569280107867,1.0877518733940692,0.7665241601055994,1.4398221719686568,0.724579010300907,0.984338278488114,0.6976217528519575
ITAPUA,1.0301707226774173,0.9907144871869059,1.0787932349189007,1.0234186312574016,1.065879414938849,1.0356978871655371,1.4493889250715153,1.0259339917659343,0.9743170873005592,1.0095780068053826,0.9774443769474234,1.0924956884866674,1.0667401762168456,1.131610897354484,1.0837917287832346,1.362072839549491,0.0,0.9852398605187354,1.348034805902018,1.0268070926135482,1.7001051044766056,0.9848619428088558,1.2446212109960628,0.9579046853599062
METROPOLITANO,0.3930548111387129,0.3535985756482016,0.44167732338019644,0.38630271971869706,0.42876350340014446,0.39858197562683273,0.8122730135328108,0.3888180802272298,0.33720117576185465,0.37246209526667823,0.3403284654087189,0.4553797769479629,0.42962426467814124,0.4944949858157795,0.44667581724453026,0.7249569280107867,0.9852398605187354,0.0,0.7109188943633136,0.38969118107484374,1.062989192937901,0.34774603127015125,0.6075052994573583,0.3207887738212018
MISIONES,0.7558497565219954,0.7163935210314841,0.804472268763479,0.7490976651019796,0.791558448783427,0.7613769210101152,1.1750679589160935,0.7516130256105124,0.6999961211451372,0.7352570406499609,0.7031234107920015,0.8181747223312454,0.7924192100614239,0.8572899311990622,0.8094707626278129,1.0877518733940692,1.348034805902018,0.7109188943633136,0.0,0.7524861264581263,1.4257841383211838,0.710540976653434,0.970300244840641,0.6835837192044845
NEEMBUCU,0.4346220432335257,0.39516580774301424,0.4832445554750091,0.4278699518135098,0.47033073549495724,0.4401492077216454,0.8538402456276236,0.4303853123220425,0.3787684078566674,0.414029327361491,0.38189569750353164,0.4969470090427756,0.471191496772954,0.5360622179105923,0.48824304933934304,0.7665241601055994,1.0268070926135482,0.38969118107484374,0.7524861264581263,0.0,1.1045564250327138,0.389313263364964,0.649072531552171,0.36235600591601463
PARAGUARI,1.107920055096583,1.0684638196060716,1.1565425673380665,1.1011679636765672,1.1436287473580145,1.113447219584703,1.5271382574906809,1.1036833241850998,1.0520664197197247,1.0873273392245484,1.0551937093665889,1.1702450209058328,1.1444895086360114,1.2093602297736497,1.1615410612024004,1.4398221719686568,1.7001051044766056,1.062989192937901,1.4257841383211838,1.1045564250327138,0.0,1.0626112752280212,1.3223705434152284,1.0356540177790718
PARAGUAY,0.3926768934288332,0.35322065793832175,0.4412994056703166,0.38592480200881735,0.42838558569026475,0.398204057916953,0.8118950958229312,0.3884401625173501,0.33682325805197494,0.3720841775567985,0.3399505476988392,0.4550018592380832,0.4292463469682615,0.4941170681058999,0.44629789953465065,0.724579010300907,0.9848619428088558,0.34774603127015125,0.710540976653434,0.389313263364964,1.0626112752280212,0.0,0.6071273817474786,0.3204108561113221
PTE_HAYES,0.6524361616160402,0.6129799261255289,0.7010586738575237,0.6456840701960244,0.6881448538774718,0.6579633261041601,1.0716543640101381,0.6481994307045571,0.596582526239182,0.6318434457440055,0.5997098158860462,0.7147611274252902,0.6890056151554687,0.7538763362931068,0.7060571677218577,0.984338278488114,1.2446212109960628,0.6075052994573583,0.970300244840641,0.649072531552171,1.3223705434152284,0.6071273817474786,0.0,0.5801701242985291
SAN_PEDRO,0.3657196359798838,0.32626340048937236,0.4143421482213672,0.3589675445598679,0.4014283282413153,0.3712468004680036,0.7849378383739817,0.3614829050684006,0.30986600060302544,0.34512692010784907,0.31299329024988976,0.4280446017891337,0.4022890895193121,0.4671598106569504,0.41934064208570115,0.6976217528519575,0.9579046853599062,0.3207887738212018,0.6835837192044845,0.36235600591601463,1.0356540177790718,0.3204108561113221,0.5801701242985291,0.0
